metric,timestamp,value,job,mode,instance
static_rolling_mae,2026-05-04T06:19:29.354000+00:00,2913.2367768749996,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:34.354000+00:00,2726.9911562499997,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:39.354000+00:00,2879.566813125,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:44.354000+00:00,2819.1138062499995,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:49.354000+00:00,2795.1917697916665,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:54.354000+00:00,2799.87074625,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:19:59.354000+00:00,2900.054477083333,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:04.354000+00:00,3043.736762916667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:09.354000+00:00,3132.0586739583337,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:14.354000+00:00,2973.234931041667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:19.354000+00:00,2712.9945804166673,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:24.354000+00:00,2824.975382291667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:29.354000+00:00,3049.6639462500007,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:34.354000+00:00,3243.8521129166675,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:39.354000+00:00,3372.0742795833344,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:44.354000+00:00,3394.9280991666674,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:49.354000+00:00,3362.1086170833337,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:54.354000+00:00,3265.5498670833335,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:20:59.354000+00:00,3349.722679583334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:04.354000+00:00,3494.5541587500006,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:09.354000+00:00,3564.346317500001,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:14.354000+00:00,3823.933588333334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:19.354000+00:00,3688.4458439583336,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:24.354000+00:00,3525.609114791667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:29.354000+00:00,3169.257864791667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:34.354000+00:00,3206.1454268750003,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:39.354000+00:00,3804.262523958334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:44.354000+00:00,4271.910902708334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:49.354000+00:00,4089.812565625001,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:54.354000+00:00,3812.6787983333343,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:21:59.354000+00:00,3709.2406787500004,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:04.354000+00:00,4290.383405208334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:09.354000+00:00,4617.329410000001,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:14.354000+00:00,4694.586871250001,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:19.354000+00:00,4565.443389791667,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:24.354000+00:00,4568.981297708334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:29.354000+00:00,4398.407578958334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:34.354000+00:00,3815.1012472916677,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:39.354000+00:00,3468.1195329166676,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:44.354000+00:00,3573.782730000001,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:49.354000+00:00,3634.6238916666675,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:54.354000+00:00,3713.641174375,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:22:59.354000+00:00,3238.3768283333334,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:23:04.354000+00:00,2715.9071358333335,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:23:09.354000+00:00,2581.09943375,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:23:14.354000+00:00,2897.5920556250003,load-forecast-static,static,static-service:8000
static_rolling_mae,2026-05-04T06:23:19.354000+00:00,3116.319492083334,load-forecast-static,static,static-service:8000
