step,datetime,actual_mw,static_prediction,dynamic_prediction,inline_prediction,static_rolling_mae,dynamic_rolling_mae,inline_rolling_mae,static_error,dynamic_error,inline_error,dynamic_retrain_count,dynamic_drift_active,inline_retrain_count,inline_drift_active,inline_retraining_in_progress
1588,2019-03-08 04:00:00,31273.046,27881.4658,33483.23741,32914.24859,8420.883512291666,968.368050000001,1051.314341666667,3391.5801999999967,2210.191410000003,1641.2025900000044,1,False,1,False,False
1589,2019-03-08 05:00:00,33421.302,27837.67015,32955.63201,32743.0017,8324.066121458332,949.4327808333343,1037.0950081250003,5583.631850000002,465.66999000000214,678.3003000000026,1,False,1,False,False
1590,2019-03-08 06:00:00,36339.47,27637.60045,32037.98019,32214.60099,8207.851654791668,912.2810537500009,994.0976689583334,8701.86955,4301.489810000003,4124.869010000002,1,False,1,False,False
1591,2019-03-08 07:00:00,37037.552,27335.81916,30707.43383,31254.45735,8087.224818125001,893.8296268750009,987.0337175000004,9701.732840000004,6330.118170000002,5783.094650000003,1,False,1,False,False
1592,2019-03-08 08:00:00,36159.259,27609.42983,30455.05553,30720.63491,7979.4007295833335,894.7547989583342,997.5302116666671,8549.829169999997,5704.203469999997,5438.6240899999975,1,False,1,False,False
1593,2019-03-08 09:00:00,35348.45,27882.63532,30676.49119,30461.51123,7882.762345833334,913.8627014583338,1009.1797141666669,7465.814679999996,4671.958809999996,4886.938769999997,1,False,1,False,False
1594,2019-03-08 10:00:00,34618.731,27859.998199999998,31920.45822,31614.99507,7788.311081458334,924.7140360416673,1032.489040416667,6758.732800000002,2698.2727799999993,3003.735929999999,1,False,1,False,False
1595,2019-03-08 11:00:00,33930.565,28671.410499999998,32509.66575,32898.97332,7696.478762291667,930.5408658333339,1050.5877562500002,5259.154500000004,1420.8992500000022,1031.591680000005,1,False,1,False,False
1596,2019-03-08 12:00:00,33293.275,28654.2552,32585.014789999997,32604.44637,7604.318080000001,948.5146206250006,1062.0824539583336,4639.019800000002,708.260210000004,688.82863,1,False,1,False,False
1597,2019-03-08 13:00:00,33097.735,28678.62971,32818.45749,32680.49064,7523.956265416668,992.9913752083339,1093.9274677083336,4419.1052899999995,279.2775099999999,417.2443600000006,1,False,1,False,False
1598,2019-03-08 14:00:00,33170.437,28693.71934,32810.038739999996,32205.73899,7447.117970416667,1048.1805833333337,1134.6305414583335,4476.717659999998,360.39826000000176,964.6980099999964,1,False,1,False,False
1599,2019-03-08 15:00:00,33762.289000000004,28713.7863,32132.59574,32365.64975,7382.194398333334,1099.1218875000004,1179.5820570833337,5048.502700000005,1629.6932600000036,1396.6392500000038,1,False,1,False,False
1600,2019-03-08 16:00:00,34477.685,28757.30641,31353.67047,31729.90238,7322.035986666667,1143.6926456250003,1221.416585625,5720.378589999997,3124.0145299999967,2747.782619999998,1,False,1,False,False
1601,2019-03-08 17:00:00,35305.23,28292.56528,30403.747,30115.534209999998,7225.377911041668,1198.5309914583338,1261.1893977083334,7012.664720000004,4901.483000000004,5189.695790000005,1,False,1,False,False
1602,2019-03-08 18:00:00,36184.345,28328.87208,28934.135619999997,28779.11645,7095.997637083333,1244.114486666667,1302.1839002083334,7855.47292,7250.209380000004,7405.22855,1,False,1,False,False
1603,2019-03-08 19:00:00,35731.315,28462.62442,28153.55565,28131.315450000002,6951.614428125001,1268.4778345833338,1323.49063,7268.690580000002,7577.759350000004,7599.99955,1,False,1,False,False
1604,2019-03-08 20:00:00,34856.171,28496.02809,28352.546319999998,28387.77479,6801.231653333333,1260.527001458334,1333.32627875,6360.142910000002,6503.624680000004,6468.396210000003,1,False,1,False,False
1605,2019-03-08 21:00:00,33613.287,28474.847250000003,28364.12358,28453.17899,6650.365660416665,1254.5268452083337,1330.46360625,5138.439749999994,5249.163419999997,5160.108009999996,1,False,1,False,False
1606,2019-03-08 22:00:00,31869.47,28444.67356,28418.71733,28718.29364,6504.007879375,1258.0708675000005,1332.7855370833333,3424.796440000002,3450.7526700000017,3151.1763600000013,1,False,1,False,False
1607,2019-03-08 23:00:00,30229.919,28444.67356,30143.83432,29848.24439,6365.244955208334,1261.544830208334,1314.2510183333334,1785.2454400000024,86.08467999999993,381.67461000000185,1,False,1,False,False
1608,2019-03-09 00:00:00,28909.664,28457.54042,30131.73629,29802.82278,6220.371906875001,1254.8302500000002,1313.2557737500001,452.1235799999995,1222.07229,893.1587799999979,1,False,1,False,False
1609,2019-03-09 01:00:00,28229.853000000003,28452.80643,30096.41835,30277.47359,6069.608462083333,1245.0632672916672,1290.6063475000003,222.95342999999775,1866.5653499999971,2047.6205899999986,1,False,1,False,False
1610,2019-03-09 02:00:00,27877.559,28489.20794,31057.31496,31789.556940000002,5915.426266041667,1207.4115787500004,1251.384388541667,611.6489399999991,3179.7559599999986,3911.997940000001,1,False,1,False,False
1611,2019-03-09 03:00:00,27775.701,28444.05404,31473.774409999998,31796.130100000002,5760.404703125,1177.9582602083337,1226.2345970833337,668.3530399999981,3698.0734099999972,4020.429100000001,1,False,1,False,False
1612,2019-03-09 04:00:00,28105.259,28440.92418,31708.88512,31640.43903,5577.39977375,1147.4488156250002,1203.6274787500004,335.6651800000036,3603.626120000001,3535.180030000003,1,False,1,False,False
1613,2019-03-09 05:00:00,28879.944,28479.32794,31332.54851,30911.43719,5351.791538541666,1160.330559375,1217.6642393750003,400.6160600000003,2452.604510000001,2031.493190000001,1,False,1,False,False
1614,2019-03-09 06:00:00,30033.480000000003,28335.75197,30827.66053,30412.11146,5123.6551408333335,1147.3538099999998,1198.276695416667,1697.728030000002,794.1805299999978,378.6314599999969,1,False,1,False,False
1615,2019-03-09 07:00:00,31000.871,28078.39219,30467.24404,30218.89891,4909.431410624999,1121.0187395833332,1160.203649166667,2922.4788100000005,533.6269599999978,781.9720899999993,1,False,1,False,False
1616,2019-03-09 08:00:00,31591.017,28039.69762,29212.92093,29472.60045,4750.272120208333,1088.41641375,1116.5184770833337,3551.319380000001,2378.0960699999996,2118.416549999998,1,False,1,False,False
1617,2019-03-09 09:00:00,31576.548,28039.94781,29292.81219,29414.91531,4630.989103541667,1066.1378908333331,1098.3185322916672,3536.6001899999974,2283.7358099999983,2161.6326899999985,1,False,1,False,False
1618,2019-03-09 10:00:00,31112.286,28747.42934,29488.55227,29661.47797,4527.636998541667,1062.2750587499997,1096.8741650000004,2364.8566600000013,1623.73373,1450.8080300000001,1,False,1,False,False
1619,2019-03-09 11:00:00,30475.15,28719.24334,30975.89835,31411.63966,4428.334857916667,1066.079491458333,1095.1583952083338,1755.9066600000006,500.748349999998,936.4896599999993,1,False,1,False,False
1620,2019-03-09 12:00:00,29721.114,28744.87804,31053.28252,31521.70531,4325.949587083333,1082.3056799999997,1108.1307731250001,976.2359600000018,1332.1685199999993,1800.5913099999998,1,False,1,False,False
1621,2019-03-09 13:00:00,28965.163,28758.70748,30878.7546,30988.503960000002,4222.030411250001,1107.4903254166663,1130.974217916667,206.45551999999952,1913.5915999999997,2023.3409600000014,1,False,1,False,False
1622,2019-03-09 14:00:00,28568.672,28758.70748,30126.215500000002,30573.9493,4125.270474791667,1113.7551837499998,1144.533163541667,190.03548000000228,1557.5435000000034,2005.2773000000016,1,False,1,False,False
